[2026-09-18T09:11:19.047+00:00] PID:2445074 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:19.549+00:00] PID:2445059 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:19.550+00:00] PID:2445074 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:20.052+00:00] PID:2445059 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:20.053+00:00] PID:2445074 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:20.554+00:00] PID:2445059 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:20.555+00:00] PID:2445074 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:21.058+00:00] PID:2445059 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:21.059+00:00] PID:2445074 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:21.561+00:00] EVENT:PROCESS_EXITED
