[2026-09-18T09:07:49.969+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:49.969+00:00] PID:2441509 CPU:0.00% RSS_KIB:274048 MEM:1.72337% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:50.471+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:50.472+00:00] PID:2441509 CPU:0.00% RSS_KIB:274048 MEM:1.72337% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:50.975+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:50.975+00:00] PID:2441509 CPU:3.98% RSS_KIB:299648 MEM:1.88435% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:51.478+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:51.479+00:00] PID:2441509 CPU:0.00% RSS_KIB:299648 MEM:1.88435% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:51.981+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:51.982+00:00] PID:2441509 CPU:1.99% RSS_KIB:299648 MEM:1.88435% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:52.484+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:52.484+00:00] PID:2441509 CPU:0.00% RSS_KIB:299648 MEM:1.88435% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:52.986+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
