[2026-09-18T09:17:37.932+00:00] PID:2451259 CPU:3.98% RSS_KIB:222848 MEM:1.40139% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:38.434+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:38.435+00:00] PID:2451259 CPU:5.97% RSS_KIB:222848 MEM:1.40139% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:38.938+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:38.938+00:00] PID:2451259 CPU:0.00% RSS_KIB:222848 MEM:1.40139% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:39.440+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:39.441+00:00] PID:2451259 CPU:0.00% RSS_KIB:222848 MEM:1.40139% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:39.943+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:39.943+00:00] PID:2451259 CPU:0.00% RSS_KIB:222848 MEM:1.40139% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:40.445+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:40.446+00:00] PID:2451259 CPU:0.00% RSS_KIB:222848 MEM:1.40139% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:40.948+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:40.948+00:00] PID:2451259 CPU:3.98% RSS_KIB:248448 MEM:1.56238% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:41.450+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:41.450+00:00] PID:2451259 CPU:0.00% RSS_KIB:248448 MEM:1.56238% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:41.952+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:41.953+00:00] PID:2451259 CPU:5.97% RSS_KIB:248448 MEM:1.56238% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:42.455+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:42.456+00:00] PID:2451259 CPU:0.00% RSS_KIB:248448 MEM:1.56238% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:42.958+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:42.958+00:00] PID:2451259 CPU:0.00% RSS_KIB:248448 MEM:1.56238% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:43.460+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:43.460+00:00] PID:2451259 CPU:0.00% RSS_KIB:248448 MEM:1.56238% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:43.962+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:43.963+00:00] PID:2451259 CPU:1.99% RSS_KIB:274048 MEM:1.72337% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:44.465+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:44.465+00:00] PID:2451259 CPU:0.00% RSS_KIB:274048 MEM:1.72337% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:44.967+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:44.968+00:00] PID:2451259 CPU:7.96% RSS_KIB:274048 MEM:1.72337% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:45.470+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:45.470+00:00] PID:2451259 CPU:0.00% RSS_KIB:274048 MEM:1.72337% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:45.972+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:45.973+00:00] PID:2451259 CPU:0.00% RSS_KIB:274048 MEM:1.72337% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:46.475+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:46.475+00:00] PID:2451259 CPU:0.00% RSS_KIB:274048 MEM:1.72337% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:46.978+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:46.979+00:00] PID:2451259 CPU:3.98% RSS_KIB:299648 MEM:1.88435% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:47.481+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:47.481+00:00] PID:2451259 CPU:0.00% RSS_KIB:299648 MEM:1.88435% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:47.984+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:47.984+00:00] PID:2451259 CPU:5.97% RSS_KIB:299648 MEM:1.88435% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:48.486+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:48.487+00:00] PID:2451259 CPU:0.00% RSS_KIB:299648 MEM:1.88435% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:48.989+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:48.989+00:00] PID:2451259 CPU:0.00% RSS_KIB:299648 MEM:1.88435% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:49.491+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:49.491+00:00] PID:2451259 CPU:0.00% RSS_KIB:299648 MEM:1.88435% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:49.993+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:49.994+00:00] PID:2451259 CPU:1.99% RSS_KIB:325248 MEM:2.04534% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:50.496+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:50.496+00:00] PID:2451259 CPU:0.00% RSS_KIB:325248 MEM:2.04534% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:50.998+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:50.999+00:00] PID:2451259 CPU:3.98% RSS_KIB:325248 MEM:2.04534% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:51.501+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:51.501+00:00] PID:2451259 CPU:0.00% RSS_KIB:325248 MEM:2.04534% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:52.004+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:52.004+00:00] PID:2451259 CPU:0.00% RSS_KIB:325248 MEM:2.04534% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:52.506+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:52.507+00:00] PID:2451259 CPU:0.00% RSS_KIB:325248 MEM:2.04534% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:53.009+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
